gender,account_type,transaction_type,device,receiver_acc_type,device_os,name,cpf,birth_date,adress_pcode,phone_number,acc_creation_date,agency,account,credit_score,sender_id,device_id,device_model,transaction_amount,transaction_id,transaction_city,transaction_time,receiver_id,receiver_bank,receiver_agency,receiver_account
f,pagamento,pix,cellphone,corrente,bot,Hadassa Mendes,136.427.589-91,1937-11-18,40909-743,0500-533-9421,2023-06-19,645,323939,550.0,sid70Lx,dv21su,md62mi,21150.37,22,Moura do Galho,2024-04-23 11:20:52,rid42qE,bk45,1886,491081
m,poupanca,pix,desktop,corrente,penguin,Rael Rocha,685.039.274-38,1996-10-16,49651-370,0900-859-3174,2021-07-14,6689,122343,598.0,sid20ct,dv71gp,md82yD,37398.78,23,Rios da Prata,2022-09-24 07:36:13,rid69VU,bk26,1622,874190
m,corrente,boleto,cellphone,poupanca,bot,Joana da Mota,053.761.294-70,1983-09-17,64317139,+55 (031) 0532 9318,2025-01-21,3394,614867,627.0,sid33vX,dv29ar,md22Iq,33760.63,24,Camargo,2025-09-17 02:17:40,rid02aw,bk39,5304,16547
m,salario,pix,cellphone,salario,bot,Caua Cardoso,681.503.479-84,1996-05-31,90847007,71 6177 1159,2022-05-18,2430,68872,588.0,sid24NO,dv98Tu,md69Hs,46735.31,25,Montenegro de Pereira,2023-07-04 05:37:04,rid61YS,bk18,3522,450961
f,pagamento,pix,cellphone,corrente,penguin,Julia Fernandes,768.502.314-80,1985-11-02,71111615,+55 81 8098 8516,2024-09-25,5793,916043,340.0,sid60sM,dv45gK,md83jQ,22914.28,26,Camara de Caldeira,2025-03-21 11:25:44,rid58xh,bk49,3705,846432
f,salario,pix,desktop,salario,myos,Benjamim Pereira,402.756.918-02,1959-08-02,96120183,41 6752 5459,2024-07-18,9768,89083,503.0,sid02kW,dv90Rf,md47QB,7887.34,27,Pereira de Macedo,2025-09-26 17:09:30,rid64nW,bk81,5655,450797
m,corrente,pix,cellphone,corrente,bot,Mariah Moura,403.798.561-66,1963-08-24,44510762,+55 81 6838 8516,2021-11-02,693,457409,665.0,sid07eu,dv96Kz,md64hz,46946.5,28,Duarte,2023-01-16 00:11:37,rid29DS,bk51,7155,885506
m,pagamento,boleto,cellphone,poupanca,bot,Luiza Pastor,681.325.790-03,1945-04-16,88355231,+55 (011) 4329-2127,2021-10-17,7601,791093,649.0,sid99CR,dv99uO,md52Ce,13199.2,29,Macedo de Pires,2022-10-29 23:29:44,rid44Ld,bk58,1215,325486
f,poupanca,pix,cellphone,corrente,cheeseos,Breno Araujo,541.908.376-01,1996-02-08,59782071,(081) 1820 3778,2024-10-27,8564,639427,650.0,sid25xs,dv66Xv,md90YO,13097.76,30,Azevedo Alegre,2025-10-13 00:17:06,rid18Ry,bk44,9874,915700
m,corrente,pix,desktop,salario,cheeseos,Enrico Pacheco,254.863.190-70,1977-01-11,52816-850,21 4235 7332,2022-03-05,2538,80913,759.0,sid41GX,dv88cQ,md59iM,29125.48,31,Cassiano da Serra,2023-08-04 20:38:15,rid29Zk,bk70,6731,381995
f,pagamento,pix,cellphone,corrente,penguin,Alice Sa,738.291.654-55,1997-09-24,68862-392,+55 61 0758-1814,2022-11-30,1374,800185,437.0,sid24CG,dv26fo,md75bA,5139.68,32,Goncalves,2024-10-20 00:55:41,rid85py,bk15,3678,29556
m,salario,pix,desktop,pagamento,cheeseos,Bruna Vieira,290.831.547-50,1945-09-05,43289861,(011) 3410 3697,2023-08-10,1029,116242,746.0,sid79Ib,dv89pT,md24Ba,44070.81,33,da Costa Verde,2024-01-10 22:05:11,rid62QQ,bk18,5908,70966
f,pagamento,pix,desktop,poupanca,bot,Natalia Viana,890.367.512-68,1937-02-08,15319-520,11 8527 7221,2025-05-15,7498,38780,733.0,sid43cY,dv30ut,md86IE,5404.78,34,Andrade do Oeste,2025-08-28 15:36:20,rid45Xd,bk54,2039,838171
m,pagamento,boleto,cellphone,salario,bot,Isabelly Souza,765.139.248-55,1946-02-20,16928-451,+55 21 5447 9627,2024-01-10,5759,468849,313.0,sid05NB,dv40eQ,md65GZ,9656.49,35,Alves,2024-12-14 09:21:50,rid29RY,bk70,2068,70499
f,corrente,boleto,cellphone,corrente,bot,Emanuelly Fonseca,602.537.418-07,1953-08-20,65431-027,41 6814-4739,2022-11-26,4678,727691,817.0,sid73hi,dv17lT,md71ZR,5767.09,36,Rios da Praia,2025-08-24 05:24:55,rid18Is,bk42,2852,832250
m,poupanca,pix,cellphone,corrente,penguin,Pietro Campos,329.670.851-03,1998-07-05,91146786,81 9125 1778,2023-12-21,5644,134568,633.0,sid89lX,dv26Gd,md18jt,25571.15,37,Castro,2025-01-19 03:53:40,rid53wH,bk41,4105,205837
m,corrente,pix,cellphone,corrente,cheeseos,Jose Pires,481.957.603-84,1940-07-02,10943969,+55 (041) 7844 7364,2025-07-31,7430,76517,708.0,sid02CA,dv77nv,md92uT,33531.43,38,Siqueira da Praia,2025-09-22 07:02:04,rid62Wx,bk88,1739,334617
m,corrente,pix,cellphone,pagamento,bot,Joaquim da Mata,732.069.841-22,1968-09-07,59532787,11 4701-6873,2022-12-14,3524,611680,470.0,sid50ds,dv79PR,md74Ia,20419.65,39,Lopes,2024-12-07 15:21:28,rid24Ux,bk65,741,420040
m,corrente,pix,cellphone,salario,bot,Eloa Novaes,416.937.250-61,1952-05-28,65585239,31 6800-0257,2021-04-30,8508,479187,466.0,sid29Gi,dv59uk,md69Vt,27396.86,40,Montenegro do Galho,2022-12-25 18:33:04,rid87TK,bk47,272,386251
f,corrente,pix,cellphone,salario,bot,Lara Pacheco,407.259.168-85,2000-04-14,89623091,+55 (071) 0756-2636,2023-09-18,8221,812617,560.0,sid97VU,dv02Hn,md85QE,45059.04,41,Dias da Serra,2024-03-06 06:21:18,rid78vI,bk54,9995,507699
m,corrente,pix,cellphone,pagamento,myos,Agatha Novais,439.621.875-37,1982-05-15,41986-652,(021) 0415 7473,2022-07-13,3310,868170,670.0,sid84JS,dv42gN,md93pd,11232.03,42,Porto,2023-07-30 22:53:58,rid30gA,bk57,1647,714281
m,corrente,pix,cellphone,salario,bluescreen,Isis Castro,678.512.490-58,1947-01-27,80262067,+55 (061) 4004-9915,2022-01-24,4662,476419,407.0,sid88Fi,dv87rm,md15kU,34817.71,43,Ramos de da Cunha,2022-02-01 01:10:41,rid20Vv,bk49,3164,184019
f,corrente,pix,desktop,poupanca,cheeseos,Olivia Duarte,169.783.204-04,1970-05-22,37454-990,+55 71 5301-7426,2024-05-05,8233,967946,397.0,sid41Os,dv59oo,md27jD,47898.3,44,Leao da Prata,2025-04-02 04:57:59,rid78ZQ,bk33,9761,915548
f,salario,ted,cellphone,pagamento,bot,Sarah Santos,518.049.726-49,1957-04-16,87139-718,(041) 0728-6790,2021-08-04,9155,484838,627.0,sid40zq,dv03Le,md06wS,47501.98,45,Nogueira,2025-05-22 23:56:36,rid01Ec,bk46,2948,806325
m,salario,ted,cellphone,salario,bot,Laura Freitas,679.304.128-22,1951-01-16,86823004,(061) 8686-3375,2022-01-17,2541,289039,561.0,sid31cZ,dv69Xb,md33eg,12959.58,46,Machado,2025-04-20 16:07:31,rid90pV,bk06,7191,245722
f,corrente,pix,cellphone,salario,myos,Daniel Carvalho,843.659.271-91,1967-02-20,28364-408,0900 268 7056,2025-06-26,8592,334217,449.0,sid66jt,dv62WI,md73ot,15985.48,47,Martins,2025-08-07 04:32:52,rid08AA,bk88,2196,407286
m,pagamento,pix,cellphone,pagamento,bluescreen,Nicolas Farias,175.049.682-85,1940-04-11,39837354,+55 (021) 3317 3936,2022-12-17,3921,578897,529.0,sid54yD,dv85tq,md58FD,10341.72,48,Silveira,2024-01-17 02:55:36,rid75nx,bk56,749,589849
f,pagamento,pix,cellphone,poupanca,bot,Arthur Gabriel da Luz,864.192.530-98,2002-11-07,47772-522,71 7280-8010,2022-10-11,104,432424,493.0,sid23eT,dv20nG,md75dN,37673.76,49,Ribeiro de Mendonca,2023-05-25 16:23:35,rid00IJ,bk60,274,555134
m,salario,pix,cellphone,poupanca,myos,Allana Almeida,862.094.157-76,2006-07-19,54615-679,+55 51 3410 1666,2023-03-26,9055,499127,540.0,sid00Sk,dv17BP,md59gH,1451.24,50,da Conceicao,2025-07-05 05:45:50,rid39Er,bk01,4593,942996
m,salario,pix,cellphone,corrente,bot,Benicio Cavalcanti,503.417.896-66,1967-08-16,85621-850,+55 41 6315 9996,2025-07-07,5347,31064,517.0,sid47Fo,dv58yB,md29Qy,28219.6,51,Vargas,2025-10-24 10:08:46,rid94Zp,bk11,4390,161712
f,pagamento,pix,cellphone,corrente,bot,Leandro Sousa,658.097.213-03,1971-08-12,21267888,81 1015 8199,2024-02-16,5315,905674,719.0,sid60sA,dv61UJ,md39Hk,18956.31,52,Cavalcante Grande,2025-08-21 18:37:25,rid44rF,bk21,2739,455791
f,salario,boleto,cellphone,corrente,myos,Ana Clara Mendes,154.983.670-66,1953-05-03,06596-575,(021) 9245-9375,2023-03-30,2910,417584,658.0,sid54VS,dv79Yp,md56rY,39061.65,53,Fonseca do Campo,2025-01-12 03:49:59,rid93LI,bk28,440,999297
f,salario,pix,cellphone,salario,myos,Luna da Rocha,167.952.830-03,1992-06-25,17979-688,84 8058 9113,2024-10-27,5816,174418,610.0,sid90KP,dv65YB,md10gq,10898.23,54,Moraes,2025-04-07 20:07:45,rid88LS,bk93,7303,392292
m,salario,boleto,cellphone,salario,myos,Melissa Cassiano,507.823.649-00,1982-04-21,57387-571,(031) 7514-0105,2024-03-22,1791,710032,359.0,sid23Hl,dv82vJ,md67oZ,1283.92,55,Pires da Serra,2025-03-16 16:07:25,rid26zb,bk93,7365,620970
f,salario,pix,desktop,salario,bot,Anthony Santos,394.650.728-00,1984-09-05,37147-859,51 9691 5579,2024-07-19,2826,853266,356.0,sid49Lf,dv25hp,md41lx,38624.04,56,Moraes,2025-05-17 00:25:27,rid66Mi,bk96,6931,194776
f,pagamento,pix,desktop,salario,cheeseos,Stephany Sales,289.371.465-09,1942-03-12,07236-887,81 7677 2190,2025-01-13,3613,306278,578.0,sid04oI,dv42XD,md97JG,17061.56,57,Oliveira,2025-09-16 19:18:16,rid14XI,bk58,681,796922
m,pagamento,pix,cellphone,poupanca,bluescreen,Pedro Henrique Lima,134.608.295-24,1994-08-27,33959629,+55 84 3309 5849,2024-08-25,8827,176556,704.0,sid54sK,dv48Rg,md26dr,48273.69,58,Sampaio,2025-10-23 08:45:47,rid23jT,bk53,6434,513234
f,corrente,pix,cellphone,corrente,myos,Vitor Gabriel Pires,697.058.321-02,1985-02-15,75901-751,61 6363-7454,2022-02-07,5533,573896,757.0,sid92KF,dv50cg,md70hk,4333.14,59,Marques de Abreu,2024-07-22 23:59:02,rid63Si,bk42,4489,97874
m,pagamento,ted,cellphone,corrente,penguin,Enzo Freitas,206.591.378-95,1947-11-07,37129387,+55 (021) 0516 2713,2023-12-17,6276,93670,417.0,sid11ux,dv42yX,md22eH,39891.62,60,Pimenta,2024-06-28 11:35:40,rid27wU,bk32,6745,646002
f,salario,pix,cellphone,corrente,bot,Erick Brito,216.937.805-77,1946-05-13,89994043,41 9836-4037,2024-08-28,6322,118220,569.0,sid37OM,dv18ax,md52yK,37908.23,61,Fonseca da Prata,2025-02-12 17:44:03,rid27Xe,bk09,1106,14463
f,poupanca,ted,cellphone,salario,bot,Bruno Araujo,684.597.312-19,1946-02-11,41418328,(061) 6914 6303,2023-02-15,1412,969542,620.0,sid61DN,dv90tQ,md21aT,23663.02,62,Sampaio,2024-01-16 03:28:47,rid02Fw,bk88,4247,175073
f,salario,pix,cellphone,poupanca,bluescreen,Vitor Gabriel Siqueira,105.632.897-59,2002-06-03,85079-252,+55 61 1913-8000,2024-01-22,4006,48215,406.0,sid75yj,dv20JZ,md63up,5977.74,63,Silveira Alegre,2024-04-29 14:09:28,rid41Kx,bk18,862,188056
m,corrente,pix,cellphone,poupanca,bot,Caleb Guerra,174.625.089-58,1935-12-25,34949-375,0900 738 3206,2022-10-17,391,244315,456.0,sid85OS,dv05aW,md64gn,5026.31,64,Leao,2024-12-26 05:27:11,rid70jT,bk41,719,966026
f,poupanca,boleto,cellphone,poupanca,bot,Julia Sampaio,571.406.823-80,1945-01-29,62344565,(051) 7431 3291,2022-11-12,2546,110790,684.0,sid27Du,dv61Iw,md37tD,6313.97,65,Campos de Minas,2025-01-27 10:01:41,rid24TS,bk90,3522,876530
f,poupanca,pix,cellphone,corrente,myos,Fernando Silva,356.402.789-00,1989-12-07,88317-121,+55 (021) 0323 6519,2023-09-07,9602,271393,818.0,sid10em,dv72fZ,md51cD,23886.46,66,Cavalcante,2024-04-24 09:54:43,rid96Uz,bk70,6270,716400
f,salario,ted,cellphone,poupanca,bot,Daniela Cunha,248.310.596-33,2002-10-18,87014-626,+55 (081) 8380-6578,2024-07-10,7940,360745,847.0,sid98uy,dv42bu,md93bZ,5922.58,67,Araujo do Amparo,2024-11-21 05:21:35,rid85XL,bk32,1640,259896
f,salario,ted,desktop,corrente,bot,Sophie Vieira,036.215.478-35,1983-09-23,59929378,(041) 2701 0393,2022-12-12,326,552021,845.0,sid70vN,dv32vT,md25db,15269.01,68,Pastor,2024-01-30 00:50:48,rid21Hx,bk15,6481,614483
m,poupanca,pix,cellphone,corrente,bluescreen,Ana Julia Duarte,296.753.801-95,1965-04-12,64422096,0300 029 5939,2021-10-02,1705,982188,396.0,sid72vV,dv13wu,md21TQ,3753.24,69,Machado do Sul,2023-03-08 19:54:22,rid43pS,bk15,4205,825250
f,salario,pix,desktop,poupanca,bot,Alexandre Aragao,679.135.482-82,1948-09-13,93271-040,(051) 4115 2621,2021-10-24,8962,987584,678.0,sid15MN,dv70BP,md29Bk,46195.55,70,Brito,2024-11-16 02:57:55,rid53mA,bk88,4346,692687
m,corrente,ted,cellphone,corrente,myos,Renan Brito,067.192.583-03,1974-12-26,31032-417,+55 61 4677 4186,2023-04-16,3029,389043,755.0,sid65lC,dv04CD,md43rK,3570.49,71,Cassiano,2024-07-20 23:53:59,rid11Qw,bk86,9662,238564
m,corrente,pix,cellphone,corrente,bot,Hellena Moreira,687.413.205-90,1939-08-16,17223320,(011) 1632-9451,2025-08-08,1425,406951,818.0,sid86Ju,dv48Da,md99HY,25023.61,72,Camargo das Pedras,2025-08-19 20:12:17,rid22KL,bk91,1730,590016
f,pagamento,pix,cellphone,corrente,bluescreen,Allana Nascimento,564.398.702-38,1972-05-18,29960-653,+55 (071) 7450 5444,2021-10-02,8054,899924,760.0,sid13it,dv75rU,md69Pf,28759.96,73,Macedo,2025-02-03 14:43:13,rid36VF,bk85,920,540299
f,salario,pix,cellphone,corrente,bot,Ana Livia Santos,862.945.037-10,1962-03-20,30705345,(061) 8610-3579,2022-03-31,7308,186209,804.0,sid79Jw,dv52qV,md14by,9074.46,74,Castro,2022-07-10 22:22:40,rid93oP,bk33,4408,683238
m,pagamento,boleto,cellphone,poupanca,bot,Asafe Vasconcelos,072.514.936-16,1976-06-20,66574-374,41 9691-0858,2024-05-18,9728,638635,481.0,sid44Rg,dv71vr,md54qP,34683.68,75,Correia Grande,2025-06-20 16:15:20,rid83dZ,bk96,5236,713824
f,salario,pix,cellphone,corrente,bot,Benjamim Rezende,748.365.029-00,1981-08-07,87584282,(021) 1724 8251,2022-01-31,3641,372541,522.0,sid34AY,dv55qL,md47hE,25729.81,76,Porto,2025-02-24 11:23:12,rid99Ne,bk73,8199,125636
f,pagamento,pix,cellphone,corrente,penguin,Ana Cecilia Jesus,028.173.496-87,1959-06-11,75250074,+55 (084) 2927-1296,2024-02-21,7035,422988,718.0,sid67ya,dv08mU,md50uW,10177.91,77,Almeida,2025-04-07 12:54:20,rid03oS,bk54,2112,107697
f,corrente,boleto,desktop,poupanca,myos,Ana Laura Cavalcante,104.237.698-04,1981-07-17,53260-332,+55 11 0982-1506,2024-02-27,4190,808713,387.0,sid89dM,dv01Pb,md01AC,27541.95,78,Campos da Prata,2025-03-23 22:52:19,rid47Sj,bk30,4933,441315
m,pagamento,boleto,cellphone,poupanca,bot,Raquel da Mata,926.704.513-06,1949-05-11,39348-356,(021) 2087 3753,2021-10-02,44,13368,694.0,sid11KQ,dv72fX,md81UU,25443.6,79,da Cunha,2024-07-27 03:09:18,rid37sq,bk70,1635,852679
m,salario,pix,desktop,poupanca,cheeseos,Amanda Fonseca,561.089.724-67,1979-08-17,79415-521,71 6746 7621,2022-05-19,2171,729987,784.0,sid02gA,dv97ZK,md72Ny,43201.35,80,Pimenta do Sul,2022-07-19 06:35:53,rid27Fh,bk67,753,66412
m,corrente,pix,cellphone,poupanca,bot,Apollo Santos,835.467.019-84,2000-06-26,62890-028,(071) 7217-5354,2023-02-13,824,531553,623.0,sid38Py,dv63fD,md79Cf,49945.12,81,Machado de Dias,2024-06-15 03:38:23,rid17VP,bk01,6609,432368
f,corrente,ted,cellphone,salario,bluescreen,Alexandre Borges,943.567.210-80,1965-03-27,58997-571,+55 41 3055 4885,2021-03-14,1741,48001,404.0,sid27iT,dv61qN,md33hz,34874.92,82,Marques,2025-11-13 23:46:25,rid35gW,bk60,9647,129204
f,poupanca,pix,cellphone,poupanca,cheeseos,Mirella Carvalho,708.436.529-00,1958-07-13,16995866,0500-346-5472,2024-09-22,2263,432794,665.0,sid98tS,dv85TV,md83mn,41037.38,83,Rodrigues da Praia,2025-09-12 06:19:40,rid22GI,bk51,5771,589593
f,poupanca,pix,cellphone,poupanca,penguin,Lara Rocha,846.709.531-84,1954-09-04,03424420,(021) 3805 7198,2024-12-24,3675,778476,589.0,sid86pG,dv40yy,md65Jd,22846.4,84,Souza,2025-08-07 08:08:53,rid43NX,bk73,6025,791787
f,pagamento,pix,cellphone,salario,bluescreen,Matteo Vasconcelos,347.150.682-90,1986-03-26,64842294,+55 (011) 5720 2590,2025-07-18,4934,514379,657.0,sid98we,dv58ol,md81YG,42588.26,85,Leao,2025-11-12 03:59:13,rid88zf,bk53,3495,695556
f,pagamento,ted,cellphone,corrente,bot,Eloah da Rocha,387.450.621-53,1995-07-21,99305616,+55 61 8408-5887,2023-09-20,7975,45981,338.0,sid43uG,dv11kX,md88aO,31558.05,86,Costela,2025-02-15 07:03:18,rid36gn,bk86,1181,783171
m,salario,pix,cellphone,corrente,bot,Maria Clara Silva,501.867.239-03,1965-11-17,66766-506,+55 71 8091 9015,2022-03-15,8238,111291,682.0,sid44Mf,dv47yz,md07kI,45171.2,87,Carvalho,2022-04-20 21:34:26,rid68sO,bk24,6113,995586
f,salario,pix,desktop,corrente,bot,Joao Miguel Campos,096.478.251-02,1963-09-18,82223-943,+55 61 2908 7814,2020-12-27,1103,262865,393.0,sid13UL,dv75wi,md31sN,3948.42,88,Correia,2025-09-11 17:45:16,rid57Cv,bk94,9571,159797
f,salario,pix,cellphone,corrente,bot,Emanuella Dias,620.815.349-24,1953-03-05,77754-781,+55 (051) 9142-8341,2025-09-15,1235,935440,305.0,sid08Ob,dv99zX,md93cJ,40231.65,89,Nogueira da Prata,2025-11-09 00:53:02,rid72xz,bk39,4767,140384
m,corrente,pix,cellphone,poupanca,bot,Nina Borges,650.814.927-01,1995-08-17,29927503,(084) 3145-3038,2024-11-05,5918,406945,438.0,sid77cc,dv51TH,md44LI,42265.2,90,Garcia,2025-05-18 14:48:23,rid65LP,bk18,4121,394609
m,poupanca,pix,cellphone,corrente,bot,Jade Fogaca,578.406.139-93,1966-03-13,84322259,+55 71 3651 7773,2022-10-16,9679,169078,838.0,sid60pc,dv29Lk,md28cK,32911.49,91,Araujo,2024-12-26 03:44:07,rid24lH,bk69,9234,668595
f,corrente,pix,cellphone,salario,bluescreen,Enzo Gabriel Cunha,798.163.520-95,2004-06-01,25799-136,51 2103 8862,2021-01-19,9920,100976,457.0,sid27NM,dv08GW,md11EQ,39943.01,92,Pereira,2023-06-18 15:54:30,rid80XR,bk68,6892,388368
f,corrente,pix,cellphone,salario,myos,Liz da Conceicao,765.498.013-20,1969-07-15,31498-643,+55 (011) 0981 8063,2021-04-06,5175,428705,646.0,sid51jB,dv94qI,md69xN,45170.19,93,Rodrigues das Flores,2025-10-08 01:58:58,rid36JY,bk87,2928,388196
f,pagamento,pix,desktop,pagamento,bot,Maria Sophia da Cunha,456.810.739-39,1948-07-17,86589026,+55 (011) 1279 6114,2025-08-26,3633,388848,397.0,sid19cU,dv66NP,md84TM,6607.99,94,Vasconcelos,2025-10-18 21:02:13,rid27Ca,bk38,4685,204206
m,corrente,boleto,cellphone,pagamento,cheeseos,Pietra Sampaio,320.817.549-32,1989-04-04,66938-011,81 4895-5439,2021-03-07,3187,476849,744.0,sid69aq,dv26Gg,md81Gs,37327.97,95,Camargo do Galho,2025-07-10 05:12:24,rid48YK,bk47,6178,590525
m,salario,pix,cellphone,poupanca,bot,Ryan Sa,578.403.916-48,1986-12-23,35658804,+55 51 4165 1827,2025-01-03,5142,370711,832.0,sid39rl,dv37Vm,md33qn,40229.38,96,Costa,2025-10-29 00:36:51,rid39wj,bk11,1285,708640
m,corrente,pix,desktop,poupanca,penguin,Anthony Gabriel Teixeira,807.246.351-90,2001-09-11,84639208,(011) 7808-5627,2025-01-31,1972,732162,752.0,sid87uS,dv00Rn,md69gu,47014.59,97,Pimenta Paulista,2025-09-26 09:16:55,rid28qp,bk47,5621,383699
m,poupanca,pix,desktop,corrente,bot,Lais Costela,658.932.704-10,1966-01-02,43866322,(071) 0267-2885,2022-06-17,7972,314608,753.0,sid48Kd,dv61Sk,md03qE,45469.38,98,Machado,2024-07-30 19:29:38,rid54xx,bk88,4222,360857
